motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18532-10316,18532,City Finance & Services,2024-11-13,10316,A2. Unlocking Attainable Home Ownership,2024-11-13T10:20:06-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18532-10315,18532,City Finance & Services,2024-11-13,10315,A1. Establishing a South Asian Cultural Centre of Excellence in Vancouver,2024-11-13T10:02:47-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18567-10314,18567,Public Hearing,2024-11-12,10314,3. CD-1 (845) Text Amendment: 728-796 Main Street and 205 Union Street,2024-11-12T20:13:07-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18567-10313,18567,Public Hearing,2024-11-12,10313,2. CD-1 (843) Text Amendment: 888 West Broadway (formerly 878-898 West Broadway),2024-11-12T19:03:01-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18567-10312,18567,Public Hearing,2024-11-12,10312,1. Rezoning: 3983-3991 West 10th Avenue,2024-11-12T18:40:56-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10310,18531,Council,2024-11-12,10310,RR3. CD-1 Rezoning: 1365 West 12th Avenue,2024-11-12T12:10:28-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10308,18531,Council,2024-11-12,10308,RR2. CD-1 Text Amendment: 8 East Broadway (Formerly 2-24 East Broadway & 2520 Ontario Street)\t,2024-11-12T12:10:09-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10306,18531,Council,2024-11-12,10306,RR1. CD-1 Rezoning: 1726 West 11th Avenue,2024-11-12T12:09:50-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10303,18531,Council,2024-11-12,10303,R6. Business Licence Hearing Panels - January to July 2025,2024-11-12T12:09:17-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10301,18531,Council,2024-11-12,10301,R4. Auditor General Committee Recommendations Transmittal Report,2024-11-12T12:08:06-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10300,18531,Council,2024-11-12,10300,Comm 1 - Correction of Administrative Error - Metro Vancouver Council Representatives,2024-11-12T12:07:48-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10298,18531,Council,2024-11-12,10298,R7. Amendments to the Mayor and Councillors Expenses By-Law,2024-11-12T11:46:14-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10297,18531,Council,2024-11-12,10297,"R5. Provincial Housing Targets Order - Progress Report - October 1, 2023 â€“
September 30, 2024 & Interim Provincial Housing Needs Report",2024-11-12T11:41:33-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10296,18531,Council,2024-11-12,10296,R3. Rainwater Management to Facilitate New Housing,2024-11-12T11:27:43-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10295,18531,Council,2024-11-12,10295,R2. Sponsorship and Sponsorship Naming Rights Policy,2024-11-12T11:13:55-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18531-10294,18531,Council,2024-11-12,10294,R1. Seismic Risk and Risk Reduction in Existing Privately Owned Buildings,2024-11-12T11:04:56-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18700-10293,18700,Special Council,2024-11-05,10293,1. Request for Leave of Absence,2024-11-05T16:17:27-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18529-10289,18529,Policy & Strategic Priorities,2024-10-23,10289,R3. Zero Waste 2040 5-Year Implementation Update,2024-10-23T21:34:10-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18529-10288,18529,Policy & Strategic Priorities,2024-10-23,10288,"Motion 7. Protecting and Enhancing Greenspace for the East End, Chinatown, Hogan's Alley and Strathcona",2024-10-23T21:31:02-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18529-10287,18529,Policy & Strategic Priorities,2024-10-23,10287,Motion 5. Establishing a Community Policing Centre in Gastown and Area to Enhance Safety and Security,2024-10-23T21:08:56-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
