motion_id,meeting_id,meeting_type,vote_date,vote_number,agenda_description,vote_start_date_time,decision,member_vote_count,vote_counts
18838-11541,18838,Special Council,2026-04-21,11541,1. Business Licence Application No. AL0188353 (Short Term Rental) - 1801-1788 Columbia Street,2026-04-21T10:21:52-07:00,Carried Unanimously,4,"{""In Favour"": 3, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18806-11538,18806,Public Hearing,2026-04-14,11538,CD-1 (363) Text Amendment: 1055-1085 Canada Place and 1001-1045 West Waterfront Road,2026-04-14T21:04:06-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11536,18788,Council,2026-04-14,11536,RR3. CD-1 Rezoning: 888-896 Cambie Street and 111-191 Smithe Street,2026-04-14T12:24:10-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11534,18788,Council,2026-04-14,11534,RR1. Fast-Tracking Rental Housing and Small Hotels - New Mixed-Use Commercial District,2026-04-14T12:23:24-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11533,18788,Council,2026-04-14,11533,R16. 2026 Financing Growth Update - Required Consultation for Amenity Cost Charge By-law and Bill 16 Density Bonus and Inclusionary Zoning Updates,2026-04-14T12:22:43-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11531,18788,Council,2026-04-14,11531,R15. Rezoning: 1305-1325 West 13th Avenue,2026-04-14T12:22:02-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11530,18788,Council,2026-04-14,11530,R14. CD-1 Rezoning: 310 East 14th Avenue,2026-04-14T12:21:39-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11529,18788,Council,2026-04-14,11529,R12. CD-1 Rezoning: 4088 Granville Street,2026-04-14T12:20:58-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11528,18788,Council,2026-04-14,11528,R9. Funding Application to Local Government Development Approvals Program,2026-04-14T12:19:34-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11527,18788,Council,2026-04-14,11527,R7. Vancouver Heritage Foundation Board - Annual Report 2025,2026-04-14T12:18:47-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11526,18788,Council,2026-04-14,11526,R5. 2025 Property Tax Exemptions,2026-04-14T12:18:21-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11525,18788,Council,2026-04-14,11525,R4b. 2026 Property Taxation: Distribution of Property Tax Levy Report,2026-04-14T12:17:16-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11524,18788,Council,2026-04-14,11524,R4a. Budget Resolution,2026-04-14T12:14:30-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11523,18788,Council,2026-04-14,11523,R3. Vancouver Community Sport Event Grants - Spring 2026 Intake,2026-04-14T12:14:05-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11522,18788,Council,2026-04-14,11522,RR2. CD-1 Rezoning: 888 West 8th Avenue,2026-04-14T12:02:17-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11521,18788,Council,2026-04-14,11521,R13. CD-1 Rezoning: 3803-3823 West 10th Avenue and 2553 Highbury Street,2026-04-14T11:58:44-07:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 1, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11520,18788,Council,2026-04-14,11520,R11. CD-1 (839) Text Amendment: 5590 Victoria Drive and 2005 East 40th Avenue,2026-04-14T11:57:03-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11519,18788,Council,2026-04-14,11519,R10. Miscellaneous Amendments Concerning Various Housing Rezoning Conditions,2026-04-14T11:47:43-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 1, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11518,18788,Council,2026-04-14,11518,R8. Sites for 2026-2029 Alcohol Consumption in Public Plazas Program,2026-04-14T11:36:48-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11517,18788,Council,2026-04-14,11517,R6. Coastal Flood Management Policy,2026-04-14T11:21:42-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11516,18788,Council,2026-04-14,11516,R6. Coastal Flood Management Policy - Amendment,2026-04-14T11:20:13-07:00,Lost,11,"{""In Favour"": 3, ""In Opposition"": 6, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11515,18788,Council,2026-04-14,11515,"R2. 2026 Cultural Grants (Balance of Operating, Cultural Spaces)",2026-04-14T11:01:19-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11514,18788,Council,2026-04-14,11514,"R2. 2026 Cultural Grants (Balance of Operating, Cultural Spaces) - Amendment",2026-04-14T11:00:24-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11513,18788,Council,2026-04-14,11513,R1. 2025 Homeless Count - Vancouver,2026-04-14T10:35:11-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18788-11512,18788,Council,2026-04-14,11512,R1. 2025 Homeless Count - Vancouver - Amendment,2026-04-14T10:33:08-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18890-11476,18890,Public Hearing,2026-03-12,11476,5. CD-1 Rezoning: 2028-2038 Barclay Street,2026-03-12T13:59:40-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18893-11475,18893,Public Hearing,2026-03-11,11475,1. City of Vancouver Official Development Plan - Final motion as amended,2026-03-11T21:43:58-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 1}"
18893-11474,18893,Public Hearing,2026-03-11,11474,1. City of Vancouver Official Development Plan - Amendment,2026-03-11T21:16:03-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 1}"
18826-11473,18826,City Finance & Services,2026-03-11,11473,1. A By-law to amend the Street Vending By-law No. 10868 Regarding the 2026 Granville,2026-03-11T12:20:01-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11471,18826,City Finance & Services,2026-03-11,11471,"Motion 3. Cheap, Easy and Everywhere: Unlocking the full potential of shared mobility to reduce",2026-03-11T12:07:35-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11470,18826,City Finance & Services,2026-03-11,11470,Motion 2. Advancing the Right to Food and Public Food Infrastructure,2026-03-11T11:18:33-07:00,Lost,11,"{""In Favour"": 4, ""In Opposition"": 5, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11469,18826,City Finance & Services,2026-03-11,11469,Report 1. Housing and Homelessness Services 2026 Grants: Renter Services Grants,2026-03-11T10:38:50-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11468,18826,City Finance & Services,2026-03-11,11468,Motion 1. A One-Time Extraordinary Grant for Granville Street Activation During FIFA World Cup,2026-03-11T10:35:35-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11467,18826,City Finance & Services,2026-03-11,11467,Motion 1. A One-Time Extraordinary Grant for Granville Street Activation During FIFA World Cup,2026-03-11T10:18:10-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11466,18826,City Finance & Services,2026-03-11,11466,Report 2. Chinatown Strategic Priority Grants,2026-03-11T10:03:40-07:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18826-11465,18826,City Finance & Services,2026-03-11,11465,Report 1. Housing and Homelessness Services 2026 Grants: Renter Services Grants,2026-03-11T09:55:31-07:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18805-11464,18805,Public Hearing,2026-03-10,11464,"1. City of Vancouver Official Development Plan - Refer item 1 to reconvening date on March 11, 2026",2026-03-10T22:01:14-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18805-11463,18805,Public Hearing,2026-03-10,11463,1. City of Vancouver Official Development Plan - Extend past 10 pm to complete speakers,2026-03-10T21:57:09-07:00,Lost,11,"{""In Favour"": 6, ""In Opposition"": 4, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11459,18786,Council,2026-03-10,11459,Auditor General Committee Recommendations Transmittal Report,2026-03-10T16:40:49-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11458,18786,Council,2026-03-10,11458,Nomination Subcommittee Recommendations Transmittal Report,2026-03-10T16:40:33-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11457,18786,Council,2026-03-10,11457,Amendments to Street Vending By-law to Support 2026 Granville Street Summer Patios,2026-03-10T16:40:14-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11456,18786,Council,2026-03-10,11456,Community Housing Incentive Program Grant â€“ ALT Commercial Housing Society Co-op Housing Project,2026-03-10T16:39:56-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11455,18786,Council,2026-03-10,11455,"Annual Federation of Canadian Municipalities (FCM), Union of British Columbia Municipalities (UBCM), and Lower Mainland Local Government Association (LMLGA) Membership Fees for 2026 to 2027",2026-03-10T16:39:37-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11454,18786,Council,2026-03-10,11454,Proposed Vancouver Charter Amendment - Business Improvement Area (BIA) Renewal,2026-03-10T16:39:16-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11453,18786,Council,2026-03-10,11453,2026 Graffiti Abatement Grants for Business Improvement Areas (BIAs),2026-03-10T16:38:55-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11452,18786,Council,2026-03-10,11452,Approval of 2026-27 Business Improvement Area (BIA) Budgets,2026-03-10T16:38:19-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11451,18786,Council,2026-03-10,11451,Urgent Action to Save Car Free Days 2026 - FINAL MOTION AS AMENDED,2026-03-10T16:32:21-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11450,18786,Council,2026-03-10,11450,Urgent Action to Save Car Free Days 2026 - AMENDED AMENDMENT,2026-03-10T16:31:54-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11449,18786,Council,2026-03-10,11449,Urgent Action to Save Car Free Days 2026 - AMENDMENT TO THE AMENDMENT,2026-03-10T16:31:12-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11448,18786,Council,2026-03-10,11448,Outstanding Council Motions Update,2026-03-10T16:11:31-07:00,Carried,11,"{""In Favour"": 7, ""In Opposition"": 3, ""Abstain"": 1, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11447,18786,Council,2026-03-10,11447,Outstanding Council Motions Update - AMENDMENT,2026-03-10T16:11:07-07:00,Lost,11,"{""In Favour"": 4, ""In Opposition"": 7, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11446,18786,Council,2026-03-10,11446,2026 Property Tax: Development Potential Relief and Land Assessment Averaging,2026-03-10T15:26:58-07:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11445,18786,Council,2026-03-10,11445,2026 Community Services and Other Social Grants and One Cultural Grant - FINAL MOTION A TO T,2026-03-10T12:06:27-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11444,18786,Council,2026-03-10,11444,2026 Community Services and Other Social Grants and One Cultural Grant - FINAL MOTION U,2026-03-10T12:05:14-07:00,Lost,11,"{""In Favour"": 3, ""In Opposition"": 4, ""Abstain"": 2, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11443,18786,Council,2026-03-10,11443,2026 Community Services and Other Social Grants and One Cultural Grant - AMENDMENT,2026-03-10T11:58:21-07:00,Carried,11,"{""In Favour"": 3, ""In Opposition"": 4, ""Abstain"": 2, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11442,18786,Council,2026-03-10,11442,"CD-1 Rezoning: (i) 1030-1070 East Hastings Street, (ii) 1115-1129 East Hastings Street & 360 Glen Drive and (iii) 1168-1182 East Hastings Street - FINAL AMENDED REFERRAL MOTION",2026-03-10T11:25:52-07:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 1, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11441,18786,Council,2026-03-10,11441,"CD-1 Rezoning: (i) 1030-1070 East Hastings Street, (ii) 1115-1129 East Hastings Street & 360 Glen Drive and (iii) 1168-1182 East Hastings Street - AMENDMENT TO THE AMENDMENT (for the referral motion)",2026-03-10T11:23:42-07:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18786-11440,18786,Council,2026-03-10,11440,"CD-1 Rezoning: (i) 1030-1070 East Hastings Street, (ii) 1115-1129 East Hastings Street & 360 Glen Drive and (iii) 1168-1182 East Hastings Street- AMENDMENT TO THE REFERRAL",2026-03-10T11:22:05-07:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 1, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18804-11438,18804,Public Hearing,2026-03-05,11438,4.\tCD-1 Rezoning: 2219-2285 Cambie Street,2026-03-05T22:46:19-08:00,Carried Unanimously,11,"{""In Favour"": 7, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 4, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18804-11437,18804,Public Hearing,2026-03-05,11437,3.\tCD-1 Rezoning: 3553-3563 East Hastings Street,2026-03-05T21:45:57-08:00,Carried Unanimously,11,"{""In Favour"": 7, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 4, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18804-11436,18804,Public Hearing,2026-03-05,11436,2.\tCD-1 Rezoning: 3295-3333 Commercial Drive,2026-03-05T20:59:03-08:00,Carried Unanimously,11,"{""In Favour"": 8, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18804-11435,18804,Public Hearing,2026-03-05,11435,"CD-1 Rezoning: 4911-5255 Heather Street, 637-657 West 37th Avenue, and620-689 West 35th Avenue (Heather Lands) - Motion",2026-03-05T19:40:36-08:00,Carried,11,"{""In Favour"": 6, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 3, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18886-11434,18886,Public Hearing,2026-03-04,11434,CD-1 REZONING: 2202-2212 West 10th Avenue and 2221 Marstrand Avenue - Final Motion as Amended,2026-03-04T19:56:19-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18886-11433,18886,Public Hearing,2026-03-04,11433,CD-1 REZONING: 2202-2212 West 10th Avenue and 2221 Marstrand Avenue - Amendment,2026-03-04T19:55:12-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18803-11431,18803,Public Hearing,2026-02-26,11431,Item 4.\tCD-1 (878) Text Amendment: 357-475 West 41st Avenue,2026-02-26T20:22:51-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18803-11430,18803,Public Hearing,2026-02-26,11430,Item 3.\tCD-1 (893) Text Amendment: 325-343 West 41st Avenue and 5696 Alberta Street,2026-02-26T20:15:56-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18803-11429,18803,Public Hearing,2026-02-26,11429,Item 2.\tCD-1 (843) Text Amendment: 888 West Broadway (Formerly 878-898 West Broadway),2026-02-26T20:08:54-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18803-11428,18803,Public Hearing,2026-02-26,11428,Item 1.\tCD-1 Rezoning: 441 East Pender Street,2026-02-26T19:59:39-08:00,Carried Unanimously,11,"{""In Favour"": 6, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 5, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18885-11427,18885,Public Hearing,2026-02-26,11427,3. CD-1 (454) Text Amendment: 215 West 1st Avenue,2026-02-26T15:58:29-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18885-11426,18885,Public Hearing,2026-02-26,11426,3. CD-1 (454) Text Amendment: 215 West 1st Avenue,2026-02-26T15:57:53-08:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18885-11425,18885,Public Hearing,2026-02-26,11425,3. CD-1 (454) Text Amendment: 215 West 1st Avenue,2026-02-26T15:36:39-08:00,Carried,11,"{""In Favour"": 8, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18885-11424,18885,Public Hearing,2026-02-26,11424,3. CD-1 (454) Text Amendment: 215 West 1st Avenue,2026-02-26T15:16:55-08:00,Carried Unanimously,11,"{""In Favour"": 10, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 1, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11423,18819,Policy & Strategic Priorities,2026-02-25,11423,Motion6. Recommitting to $10 a Day Childcare - Amendment to Strike and Replace,2026-02-25T15:03:55-08:00,Carried,11,"{""In Favour"": 7, ""In Opposition"": 2, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11422,18819,Policy & Strategic Priorities,2026-02-25,11422,Motion5. Meeting the Moment: FIFA Public Safety and Local Readiness Working Group,2026-02-25T14:20:25-08:00,Lost,11,"{""In Favour"": 3, ""In Opposition"": 6, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11421,18819,Policy & Strategic Priorities,2026-02-25,11421,Motion4. Walking the Talk: Aligning City Staff's and Council's Remote Work Policy,2026-02-25T13:41:33-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11420,18819,Policy & Strategic Priorities,2026-02-25,11420,Motion4. Walking the Talk: Aligning City Staff's and Council's Remote Work Policy - Amendment to B and C,2026-02-25T13:31:02-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11419,18819,Policy & Strategic Priorities,2026-02-25,11419,R1. Contract Award for Provision of City Fleet Electric Vehicle Charging Infrastructure,2026-02-25T12:14:40-08:00,Carried Unanimously,11,"{""In Favour"": 11, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11418,18819,Policy & Strategic Priorities,2026-02-25,11418,Motion2. Strengthening Public Safety Infrastructure,2026-02-25T12:09:33-08:00,Carried,11,"{""In Favour"": 7, ""In Opposition"": 4, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11417,18819,Policy & Strategic Priorities,2026-02-25,11417,Motion2. Strengthening Public Safety Infrastructure - Referral,2026-02-25T12:06:01-08:00,Lost,11,"{""In Favour"": 4, ""In Opposition"": 7, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11416,18819,Policy & Strategic Priorities,2026-02-25,11416,Motion6. Recommitting to $10 a Day Childcare,2026-02-25T11:39:17-08:00,Carried Unanimously,11,"{""In Favour"": 9, ""In Opposition"": 0, ""Abstain"": 0, ""Absent"": 2, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
18819-11415,18819,Policy & Strategic Priorities,2026-02-25,11415,Motion1. ICE Out of the Beautiful Game and Vancouver's World Cup - Challenge of Chair's Ruling,2026-02-25T10:18:45-08:00,Lost,11,"{""In Favour"": 7, ""In Opposition"": 4, ""Abstain"": 0, ""Absent"": 0, ""Declared Conflict"": 0, ""No Vote"": 0, ""Ineligible"": 0}"
