meeting_id,vote_date,meeting_type,motion_count,unmatched_motion_count,vote_numbers,expected_minutes_url,reason
18660,2025-06-17,Council,9,1,10773,https://council.vancouver.ca/20250617/documents/regu20250617min.pdf,vote_number_not_found_in_matched_minutes
18662,2025-06-18,City Finance & Services,19,3,"10799,10800,10801",https://council.vancouver.ca/20250618/documents/cfsc20250618min.pdf,not_cached
18755,2025-06-25,Public Hearing,2,2,"10812,10813",https://council.vancouver.ca/20250625/documents/phea20250625min.pdf,minutes_not_available
18667,2025-07-09,Policy & Strategic Priorities,18,1,10849,https://council.vancouver.ca/20250709/documents/pspc20250709min.pdf,not_cached
18668,2025-07-15,Special Council,1,1,10866,https://council.vancouver.ca/20250715/documents/spec20250715min.pdf,minutes_not_available
18669,2025-07-16,Special Council,1,1,10867,https://council.vancouver.ca/20250716/documents/spec20250716min.pdf,minutes_not_available
18676,2025-10-07,Council,7,1,10991,https://council.vancouver.ca/20251007/documents/regu20251007min.pdf,not_cached
18678,2025-10-14,Special Council,1,1,11025,https://council.vancouver.ca/20251014/documents/spec20251014min.pdf,minutes_not_available
18687,2025-11-18,Special Council,2,2,"11140,11141",https://council.vancouver.ca/20251118/documents/spec20251118min.pdf,minutes_not_available
18860,2025-11-18,Special Council,1,1,11139,https://council.vancouver.ca/20251118/documents/spec20251118min.pdf,minutes_not_available
18783,2026-01-20,Council,22,22,"11278,11279,11280,11282,11284,11286,11287,11288,11289,11290,11291,11292,11293,11294,11295,11296,11297,11298,11299,11300,11301,11302",https://council.vancouver.ca/20260120/documents/regu20260120min.pdf,minutes_not_available
18880,2026-01-27,Public Hearing,2,2,"11321,11322",https://council.vancouver.ca/20260127/documents/phea20260127min.pdf,minutes_not_available
18881,2026-01-27,Public Hearing,1,1,11323,https://council.vancouver.ca/20260127/documents/phea20260127min.pdf,minutes_not_available
18874,2026-02-10,Public Hearing,7,3,"11381,11382,11383",https://council.vancouver.ca/20260210/documents/phea20260210min.pdf,vote_number_not_found_in_matched_minutes
18819,2026-02-25,Policy & Strategic Priorities,9,9,"11415,11416,11417,11418,11419,11420,11421,11422,11423",https://council.vancouver.ca/20260225/documents/pspc20260225min.pdf,minutes_not_available
18886,2026-03-04,Public Hearing,2,2,"11433,11434",https://council.vancouver.ca/20260304/documents/phea20260304min.pdf,minutes_not_available
18804,2026-03-05,Public Hearing,4,1,11435,https://council.vancouver.ca/20260305/documents/phea20260305min.pdf,vote_number_not_found_in_matched_minutes
18893,2026-03-11,Public Hearing,2,2,"11474,11475",https://council.vancouver.ca/20260311/documents/phea20260311min.pdf,minutes_not_available
18890,2026-03-12,Public Hearing,1,1,11476,https://council.vancouver.ca/20260312/documents/phea20260312min.pdf,minutes_not_available
18838,2026-04-21,Special Council,1,1,11541,https://council.vancouver.ca/20260421/documents/spec20260421min.pdf,minutes_not_available
